"participants","items","syntactic_condition","interp","restricted","trial_time","cc","experiment_feedback","legal_background","politics","correct_answer","accuracy"
"R_7GBZeEOjD53Fp9O",9,"phrasal","Any “sign” including a happy birthday banner","Broad",20.68,"IT","","No legal education or work experience","Moderate/Centrist","IT",1
"R_5ToRc9z3zuNvm4i",4,"phrasal","Any “relinquishment” including a temporary lease","Broad",26.444,"Power plant","It was easy to understand and equally as easy to answer.","No legal education or work experience","Right-wing (most conservative)","Power plant",1
"R_6k5VkACzp8XvlfP",2,"simple","Any “harm” including a skin rash resulting from neglect","Broad",23.549,"Orca","Orcas aren’t whales","No legal education or work experience","Moderate/Centrist","Orca",1
"R_7HvlkHtAkRirNr4",1,"baseline","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",78.156,"Housing subsidy","","No legal education or work experience","Right-wing (most conservative)","Housing subsidy",1
"R_7Hq6tp9UELNcGGk",5,"phrasal","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",26.383,"In her purse","","No legal education or work experience","Liberal/Democrat","In her purse",1
"R_7lJGA7Scu7ovYDn",12,"phrasal","“Vehicles” with engines like cars or trucks","Restricted",22.68,"Bicycle","","No legal education or work experience","Conservative/Republican","Bicycle",1
"R_3fcLyBkyNoTT3Ho",2,"baseline","Any “harm” including a skin rash resulting from neglect","Broad",22.9,"Orca","Neglect is still harm, just like not knowing about a law doesn't make you exempt from it","No legal education or work experience","Lean Liberal","Orca",1
"R_7ThzTyPrCNs4Li9",7,"simple","Architectural “detailed representations” like blueprints and technical drawings","Restricted",35.78,"Bill","","No legal education or work experience","Liberal/Democrat","Joshua",0
"R_77OPCiHHPfp5rDq",4,"simple","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",54.308,"Power plant","","No legal education or work experience","Moderate/Centrist","Power plant",1
"R_5I0fBU9VcLJk4QF",4,"phrasal","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",41.791,"Power plant","","Legal work experience but no law degree","Progressive (most liberal)","Power plant",1
"R_7U41QPbR655YCHE",7,"phrasal","Any “detailed representations” including an intricate painting","Broad",32.139,"Joshua","Makes no sense. ","No legal education or work experience","Moderate/Centrist","Joshua",1
"R_60HI4V5h0c0FhMk",8,"baseline","Any “tank” including a fish tank","Broad",79.669,"An aquarium","","No legal education or work experience","Lean Liberal","An aquarium",1
"R_39FxEOrV93sv9KN",5,"simple","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",37.206,"In her purse","","No legal education or work experience","Conservative/Republican","In her purse",1
"R_7GjL3SyXZnT7O29",5,"simple","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",29.874,"In her purse","","No legal education or work experience","Lean Conservative","In her purse",1
"R_38MrO2tZXPDn80W",7,"baseline","Any “detailed representations” including an intricate painting","Broad",42.978,"Joshua","I found it interesting, but very short. ","Some law-related coursework","Liberal/Democrat","Joshua",1
"R_1rP9ySHxCt4kP8B",1,"simple","“Educational benefits” like stipends and salaries that go into the student’s pocket","Restricted",21.791,"Housing subsidy","","No legal education or work experience","Progressive (most liberal)","Housing subsidy",1
"R_7urX1dChxbhfq9j",5,"phrasal","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",36.299,"In her purse","","No legal education or work experience","Lean Liberal","In her purse",1
"R_3JOZMNjwM3H9Gaw",3,"baseline","Medical “clinics” that are like hospitals or urgent care centers","Restricted",42.872,"Gun","","No legal education or work experience","Liberal/Democrat","Gun",1
"R_1WYW4reVNwKdWQg",2,"baseline","Any “harm” including a skin rash resulting from neglect","Broad",14.218,"Orca","","No legal education or work experience","Conservative/Republican","Orca",1
"R_3scHKM6wkhDLxvR",6,"phrasal","Any “waste” including used gift-wrapping paper","Broad",31.038,"At the campground","","No legal education or work experience","Progressive (most liberal)","At the campground",1
"R_6TpaVRja2TxHVy6",7,"simple","Any “detailed representations” including an intricate painting","Broad",25.818,"Joshua","","No legal education or work experience","Progressive (most liberal)","Joshua",1
"R_3Rx1vH25xk7PJEB",7,"simple","Any “detailed representations” including an intricate painting","Broad",63.059,"Joshua","No comments. Thank You.","No legal education or work experience","Moderate/Centrist","Joshua",1
"R_78OGLOSNV11571w",11,"simple","Digital “electronic devices” like phones or tablets","Restricted",46.186,"Nicholas","no thanks best wishes","No legal education or work experience","Conservative/Republican","Nicholas",1
"R_51iTJxM5KMab13K",11,"baseline","Any “electronic devices” including a small battery-power fan","Broad",21.431,"Nicholas","No comments","No legal education or work experience","Liberal/Democrat","Nicholas",1
"R_3e3nOUfqS59JWzT",5,"phrasal","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",48.638,"In her purse","","Some law-related coursework","Liberal/Democrat","In her purse",1
"R_572qKnFffo5K1vX",3,"baseline","Medical “clinics” that are like hospitals or urgent care centers","Restricted",28.468,"Gun","None","No legal education or work experience","Progressive (most liberal)","Gun",1
"R_37P5cOHh1oEGZEd",12,"simple","“Vehicles” with engines like cars or trucks","Restricted",22.69,"Bicycle","","No legal education or work experience","Liberal/Democrat","Bicycle",1
"R_6dDZgW44s9HY31p",2,"phrasal","Any “harm” including a skin rash resulting from neglect","Broad",23.81,"Orca","","Current law student","Liberal/Democrat","Orca",1
"R_11d0jrsmk5Ntx9r",5,"baseline","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",36.859,"In her purse","","No legal education or work experience","Progressive (most liberal)","In her purse",1
"R_6mVj3yjoicvnLJf",12,"phrasal","“Vehicles” with engines like cars or trucks","Restricted",44.144,"Bicycle","","Some law-related coursework","Conservative/Republican","Bicycle",1
"R_7rARZhgwrZhAMXG",9,"simple","Promotional “signs” like advertisements or flyers","Restricted",28.088,"IT","","No legal education or work experience","Progressive (most liberal)","IT",1
"R_7IZBlexAphtIgfc",11,"phrasal","Digital “electronic devices” like phones or tablets","Restricted",43.573,"Nicholas","interesting","No legal education or work experience","Lean Liberal","Nicholas",1
"R_7V7QwI4k81BegCV",7,"baseline","Architectural “detailed representations” like blueprints and technical drawings","Restricted",49.389,"Joe","No feedback :) Thank you!","No legal education or work experience","Progressive (most liberal)","Joshua",0
"R_3Yt7NevFJVRyHxn",2,"simple","Any “harm” including a skin rash resulting from neglect","Broad",28.059,"Orca","","No legal education or work experience","Progressive (most liberal)","Orca",1
"R_6klpgblp15zYzzH",8,"phrasal","Utility “tanks” like fuel storage or septic systems","Restricted",79.208,"An aquarium","","No legal education or work experience","Liberal/Democrat","An aquarium",1
"R_5OHSmOMWb9gSWyn",7,"baseline","Any “detailed representations” including an intricate painting","Broad",62.264,"Joshua","","No legal education or work experience","Liberal/Democrat","Joshua",1
"R_3S3w3j3A0MqIg8e",6,"phrasal","Any “waste” including used gift-wrapping paper","Broad",16.649,"At the campground","","No legal education or work experience","Progressive (most liberal)","At the campground",1
"R_5HzCTCzyL8QCFwg",3,"simple","Medical “clinics” that are like hospitals or urgent care centers","Restricted",198.275,"Gun","","No legal education or work experience","Lean Conservative","Gun",1
"R_3IRJkvY6IJnYmu2",4,"simple","Any “relinquishment” including a temporary lease","Broad",22.656,"Power plant","It was very straightforward and presents two obvious choices.","No legal education or work experience","Progressive (most liberal)","Power plant",1
"R_5PEU8JULfZ6FoXs",1,"phrasal","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",48.353,"Housing subsidy","","No legal education or work experience","Lean Conservative","Housing subsidy",1
"R_7gWhnr3vZvRYxIB",10,"phrasal","Loud “machines” like washers or dryers","Restricted",134.116,"Sewing machine","","No legal education or work experience","Moderate/Centrist","Sewing machine",1
"R_7D1Rb7qg4SRgLD6",11,"phrasal","Any “electronic devices” including a small battery-power fan","Broad",21.515,"Nicholas","If I were this student, I would also not assume that an electric powered fan would be violating those rules. I don't think most people would assume that, so this cafeteria should have been more clear that they mean electric devices beyond smart devices specifically.","No legal education or work experience","Liberal/Democrat","Nicholas",1
"R_3CUpuZXS1UuL72S",3,"simple","Medical “clinics” that are like hospitals or urgent care centers","Restricted",24.263,"Gun","","No legal education or work experience","Moderate/Centrist","Gun",1
"R_53y70dtgt1SL6Df",3,"phrasal","Medical “clinics” that are like hospitals or urgent care centers","Restricted",91.241,"Gun","none","No legal education or work experience","Moderate/Centrist","Gun",1
"R_7eDdfAqk58RJria",3,"simple","Medical “clinics” that are like hospitals or urgent care centers","Restricted",21.294,"Gun","","Some law-related coursework","Conservative/Republican","Gun",1
"R_68VhHRlR4dVfLZD",8,"simple","Utility “tanks” like fuel storage or septic systems","Restricted",168.02,"An aquarium","Interesting to see","No legal education or work experience","Lean Liberal","An aquarium",1
"R_3ixmrFJ9zMTGlxm",12,"baseline","“Vehicles” with engines like cars or trucks","Restricted",28.299,"Bicycle","","No legal education or work experience","Lean Liberal","Bicycle",1
"R_72RxXb6vSzttulS",4,"phrasal","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",46.907,"Power plant","","No legal education or work experience","Moderate/Centrist","Power plant",1
"R_5dSudZUnuMZWAY3",7,"phrasal","Any “detailed representations” including an intricate painting","Broad",30.558,"Joe","","No legal education or work experience","Lean Conservative","Joshua",0
"R_7vA7uHQsV9EeNfb",9,"baseline","Promotional “signs” like advertisements or flyers","Restricted",28.589,"IT","","No legal education or work experience","Progressive (most liberal)","IT",1
"R_5WdvjUwgLLc3V4Z",8,"baseline","Any “tank” including a fish tank","Broad",19.301,"A pet store","","No legal education or work experience","Moderate/Centrist","An aquarium",0
"R_51YNmCFgFZG2y0x",10,"simple","Loud “machines” like washers or dryers","Restricted",40.185,"Sewing machine","","No legal education or work experience","Lean Liberal","Sewing machine",1
"R_7QElhPEjrSHzI4F",11,"simple","Digital “electronic devices” like phones or tablets","Restricted",30.448,"Nicholas","","No legal education or work experience","Conservative/Republican","Nicholas",1
"R_3hETvUvrR1uYXfT",5,"baseline","Any kind of “closed and fastened case” including a purse","Broad",22.407,"In her purse","","No legal education or work experience","Progressive (most liberal)","In her purse",1
"R_52LatnFlw4zagYN",10,"baseline","Any “machine” including a small sewing machine","Broad",33.967,"Sewing machine","","No legal education or work experience","Liberal/Democrat","Sewing machine",1
"R_3GU2NATYwgBCy9A",12,"simple","“Vehicles” with engines like cars or trucks","Restricted",23.668,"Bicycle","","No legal education or work experience","Progressive (most liberal)","Bicycle",1
"R_77UV6sYiX9x4Lyv",12,"baseline","“Vehicles” with engines like cars or trucks","Restricted",18.556,"Bicycle","Thanks for the opportunity ","No legal education or work experience","Moderate/Centrist","Bicycle",1
"R_3KlzRR7IxNUckgN",1,"baseline","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",28.84,"Housing subsidy","Great experiment, thank you.","No legal education or work experience","Conservative/Republican","Housing subsidy",1
"R_5xJYMcT34E0O6ZI",2,"baseline","Any “harm” including a skin rash resulting from neglect","Broad",10.899,"Orca","","No legal education or work experience","Conservative/Republican","Orca",1
"R_34q1BWOAqtcPUUU",4,"baseline","Any “relinquishment” including a temporary lease","Broad",78.719,"Power plant","","No legal education or work experience","Lean Conservative","Power plant",1
"R_7D8JqpYclIs684V",1,"simple","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",36.98,"Housing subsidy","","No legal education or work experience","Lean Conservative","Housing subsidy",1
"R_10pyEkHxDYDHKBh",2,"simple","Direct, intentional “harms” that are like hunting and shooting","Restricted",18.538,"Orca","","No legal education or work experience","Lean Conservative","Orca",1
"R_1DAUhzs9UsScfxa",6,"simple","“Waste” that could attract animals like food or drinks","Restricted",35.049,"At the campground","Don't like the 2 party political question. Don't align with either but I'm not a centrist.","No legal education or work experience","Moderate/Centrist","At the campground",1
"R_6wyjBGojl2NS0UT",6,"phrasal","Any “waste” including used gift-wrapping paper","Broad",196.899,"At the campground","At first, I REALLY was stuck on only the food in containers portion of the rule, because I had always heard this was really the most important issue (let me state that I have never been camping). However, I then reread it multiple times and realized he literally left an unsealed bag of garbage behind and the rule does include that, however, I think it should be rewritten to explicitly state that and not lump it in amongst the sentences about food and sealed containers. It makes people think the next portion contained after the comma is also associated with food in some way and it's too easy to overlook that as it could pertain to just any unsealed garbage as well.","No legal education or work experience","Liberal/Democrat","At the campground",1
"R_7CkIKzvY09eWySI",10,"baseline","Any “machine” including a small sewing machine","Broad",23.277,"Sewing machine","","No legal education or work experience","Lean Liberal","Sewing machine",1
"R_3VlFMSXmqd2ZmgS",4,"baseline","Any “relinquishment” including a temporary lease","Broad",20.947,"Power plant","","No legal education or work experience","Moderate/Centrist","Power plant",1
"R_7wSRvzCwQvv245M",1,"phrasal","“Educational benefits” like stipends and salaries that go into the student’s pocket","Restricted",154.394,"Housing subsidy","","No legal education or work experience","Moderate/Centrist","Housing subsidy",1
"R_1BtFemBKUqxt7aN",4,"simple","Any “relinquishment” including a temporary lease","Broad",27.041,"Power plant","","Some law-related coursework","Lean Liberal","Power plant",1
"R_3p2UszoNahjywNE",11,"baseline","Any “electronic devices” including a small battery-power fan","Broad",22.894,"Nicholas","nothing additional to add","No legal education or work experience","Progressive (most liberal)","Nicholas",1
"R_7CJFp7FVF41hAQi",11,"phrasal","Any “electronic devices” including a small battery-power fan","Broad",20.245,"Nicholas","","No legal education or work experience","Progressive (most liberal)","Nicholas",1
"R_3KqnlwttPkd3bpv",4,"simple","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",36.408,"Power plant","","No legal education or work experience","Right-wing (most conservative)","Power plant",1
"R_1jTjrkx5APi6fZh",9,"phrasal","Any “sign” including a happy birthday banner","Broad",43.388,"IT","","No legal education or work experience","Right-wing (most conservative)","IT",1
"R_6tplfwLCAUEzaW5",10,"phrasal","Loud “machines” like washers or dryers","Restricted",32.244,"Sewing machine","interesting, thank you","No legal education or work experience","Right-wing (most conservative)","Sewing machine",1
"R_7sixCLwmcDBIbF1",12,"phrasal","“Vehicles” with engines like cars or trucks","Restricted",24.25,"Bicycle","","Some law-related coursework","Lean Liberal","Bicycle",1
"R_7eRIY6h2Q8Af7RL",10,"phrasal","Loud “machines” like washers or dryers","Restricted",122.042,"Sewing machine","None noted.","No legal education or work experience","Liberal/Democrat","Sewing machine",1
"R_7uyrHsYGwSdtGZO",1,"simple","“Educational benefits” like stipends and salaries that go into the student’s pocket","Restricted",29.732,"Housing subsidy","The experiment was clear and straightforward, and the questions were easy to understand.","No legal education or work experience","Conservative/Republican","Housing subsidy",1
"R_3EahbJG0vR3mjOr",2,"phrasal","Any “harm” including a skin rash resulting from neglect","Broad",104.448,"Orca","","No legal education or work experience","Moderate/Centrist","Orca",1
"R_38SaRc5AYRVdI0t",1,"phrasal","“Educational benefits” like stipends and salaries that go into the student’s pocket","Restricted",50.247,"Housing subsidy","","No legal education or work experience","Progressive (most liberal)","Housing subsidy",1
"R_7LqFHGTFQCknYR5",6,"simple","Any “waste” including used gift-wrapping paper","Broad",59.544,"At the campground","None","No legal education or work experience","Liberal/Democrat","At the campground",1
"R_5HXfIbZAAQAoufy",3,"baseline","Medical “clinics” that are like hospitals or urgent care centers","Restricted",63.036,"Gun","easy to understand survey ","No legal education or work experience","Right-wing (most conservative)","Gun",1
"R_1PTr0R1jKm18xZb",2,"phrasal","Any “harm” including a skin rash resulting from neglect","Broad",51.117,"Orca","","Some law-related coursework","Liberal/Democrat","Orca",1
"R_6PzAzVeJ9tM8q0B",6,"simple","Any “waste” including used gift-wrapping paper","Broad",17.864,"At the campground","","No legal education or work experience","Moderate/Centrist","At the campground",1
"R_3n64s3jzTXBv0Pf",4,"phrasal","Permanent “relinquishment” which is like abandoning or demolishing","Restricted",39.02,"Power plant","","No legal education or work experience","Progressive (most liberal)","Power plant",1
"R_3pDxi8m3ZAg3ChA",10,"simple","Loud “machines” like washers or dryers","Restricted",28.271,"Sewing machine","","No legal education or work experience","Lean Liberal","Sewing machine",1
"R_6Nfgih2zrSMiUeF",5,"phrasal","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",25.291,"In her purse","","No legal education or work experience","Liberal/Democrat","In her purse",1
"R_7MtzvJHIOQmxCtt",11,"simple","Any “electronic devices” including a small battery-power fan","Broad",40.191,"Nicholas","i'm a never trump conservative","No legal education or work experience","Lean Conservative","Nicholas",1
"R_7ruQJshRRh6LBxO",9,"baseline","Any “sign” including a happy birthday banner","Broad",41.849,"IT","It has been an engaging experiment.","No legal education or work experience","Liberal/Democrat","IT",1
"R_7B33TQegpCnuMcF",9,"simple","Promotional “signs” like advertisements or flyers","Restricted",60.965,"IT","","No legal education or work experience","Conservative/Republican","IT",1
"R_3oT4NK0ZlQQYlCJ",7,"simple","Any “detailed representations” including an intricate painting","Broad",40.504,"Joshua","","No legal education or work experience","Moderate/Centrist","Joshua",1
"R_1WAmEdJ9BPJcQGd",12,"baseline","“Vehicles” with engines like cars or trucks","Restricted",8.885,"Bicycle","","No legal education or work experience","Progressive (most liberal)","Bicycle",1
"R_6LUnPfyfrjGRCoc",11,"simple","Any “electronic devices” including a small battery-power fan","Broad",24.773,"Nicholas","","No legal education or work experience","Lean Liberal","Nicholas",1
"R_1Ej9ifitorR5iwl",3,"phrasal","Medical “clinics” that are like hospitals or urgent care centers","Restricted",15.771,"Gun","","No legal education or work experience","Liberal/Democrat","Gun",1
"R_1hyIkcEZEpYvmvO",1,"simple","“Educational benefits” like stipends and salaries that go into the student’s pocket","Restricted",38.781,"Housing subsidy","","No legal education or work experience","Progressive (most liberal)","Housing subsidy",1
"R_5dZ3CXb3bbnwEmW",5,"simple","Any kind of “closed and fastened case” including a purse","Broad",49.87,"In her purse","","No legal education or work experience","Moderate/Centrist","In her purse",1
"R_7FXWLtNeaoyOKMV",9,"simple","Any “sign” including a happy birthday banner","Broad",19.387,"IT","Everything worked fine and was understandable.","No legal education or work experience","Liberal/Democrat","IT",1
"R_7JazaiBovL4a80q",1,"baseline","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",43.75,"Housing subsidy","None","No legal education or work experience","Liberal/Democrat","Housing subsidy",1
"R_6MvhNP2DrOqD34R",2,"phrasal","Direct, intentional “harms” that are like hunting and shooting","Restricted",25.437,"Orca","","Some law-related coursework","Lean Liberal","Orca",1
"R_1equpY3zx8h1weZ",7,"phrasal","Architectural “detailed representations” like blueprints and technical drawings","Restricted",162.606,"George","","No legal education or work experience","Lean Conservative","Joshua",0
"R_1MUNlFhKzOyhnhf",5,"simple","Any kind of “closed and fastened case” including a purse","Broad",81.689,"In her purse","","No legal education or work experience","Liberal/Democrat","In her purse",1
"R_1XNu8VVJXSaamuR",7,"phrasal","Any “detailed representations” including an intricate painting","Broad",28.879,"Joshua","","No legal education or work experience","Conservative/Republican","Joshua",1
"R_5kFzPYzfq8grf57",5,"baseline","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",13.609,"In her purse","","Some law-related coursework","Progressive (most liberal)","In her purse",1
"R_12F6td4z4ArI1ON",10,"baseline","Loud “machines” like washers or dryers","Restricted",44.135,"Sewing machine","","No legal education or work experience","Liberal/Democrat","Sewing machine",1
"R_6zOdo2W1NZIT1zX",9,"baseline","Any “sign” including a happy birthday banner","Broad",15.076,"Sales","","No legal education or work experience","Moderate/Centrist","IT",0
"R_6F9AI67HB21Psqk",6,"phrasal","Any “waste” including used gift-wrapping paper","Broad",29.503,"At the campground","None. Thank you ","No legal education or work experience","Liberal/Democrat","At the campground",1
"R_5iaJUmgrELJ3BUz",2,"baseline","Any “harm” including a skin rash resulting from neglect","Broad",18.03,"Orca","","No legal education or work experience","Right-wing (most conservative)","Orca",1
"R_5Tz07zHj1HzRLoY",10,"phrasal","Any “machine” including a small sewing machine","Broad",45.106,"Washing machine","","No legal education or work experience","Conservative/Republican","Sewing machine",0
"R_1dj34XnsG2zUQhq",12,"phrasal","“Vehicles” with engines like cars or trucks","Restricted",65.716,"Bicycle","no","Legal work experience but no law degree","Conservative/Republican","Bicycle",1
"R_14CUWNWhDr9eLZB",2,"simple","Any “harm” including a skin rash resulting from neglect","Broad",14.008,"Orca","","No legal education or work experience","Liberal/Democrat","Orca",1
"R_7aqVd8TWvUK7yff",4,"phrasal","Any “relinquishment” including a temporary lease","Broad",78.642,"Waste disposal","","Legal work experience but no law degree","Moderate/Centrist","Power plant",0
"R_73bRHae2RmspY0V",10,"simple","Loud “machines” like washers or dryers","Restricted",70.147,"Sewing machine","Everything was clear to me.","No legal education or work experience","Lean Conservative","Sewing machine",1
"R_7P9KChlHr4YPJoR",3,"simple","Medical “clinics” that are like hospitals or urgent care centers","Restricted",49.073,"Gun","","No legal education or work experience","Lean Conservative","Gun",1
"R_1YDlyJdLlQYUYr6",11,"baseline","Any “electronic devices” including a small battery-power fan","Broad",15.866,"Nicholas","","No legal education or work experience","Conservative/Republican","Nicholas",1
"R_6PvFsuEE6U9BSrb",8,"phrasal","Any “tank” including a fish tank","Broad",20.181,"An aquarium","","No legal education or work experience","Progressive (most liberal)","An aquarium",1
"R_5qgFrwjgvSeV6ZB",11,"baseline","Digital “electronic devices” like phones or tablets","Restricted",36.275,"William","","No legal education or work experience","Progressive (most liberal)","Nicholas",0
"R_7f9jkAJwQKi6u73",4,"baseline","Any “relinquishment” including a temporary lease","Broad",30.892,"Power plant","","No legal education or work experience","Liberal/Democrat","Power plant",1
"R_39j2dvN1kjBIEox",8,"simple","Any “tank” including a fish tank","Broad",32.698,"A pet store","","No legal education or work experience","Liberal/Democrat","An aquarium",0
"R_6MARUymM16IcTqY",8,"phrasal","Any “tank” including a fish tank","Broad",36.059,"An aquarium","I was just going by what was written and it said any outdoor tanks. That ordinance would seem to apply to this situation.","No legal education or work experience","Progressive (most liberal)","An aquarium",1
"R_6C47KPan8bEqlJh",2,"simple","Any “harm” including a skin rash resulting from neglect","Broad",28.298,"Orca","n/a","Legal work experience but no law degree","Liberal/Democrat","Orca",1
"R_33g32l0a8jVg3yP",6,"baseline","Any “waste” including used gift-wrapping paper","Broad",28.475,"At the campground","The rule states any unattended waste and I could see paper like that being a fire hazard.  ","No legal education or work experience","Lean Conservative","At the campground",1
"R_6eX2ohIyTAMX1Sx",1,"phrasal","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",93.865,"Housing subsidy","","No legal education or work experience","Conservative/Republican","Housing subsidy",1
"R_1ZV8PREVWGXZEte",7,"baseline","Any “detailed representations” including an intricate painting","Broad",48.227,"Joshua","Thank you! ","Some law-related coursework","Lean Liberal","Joshua",1
"R_7zMks7V0VGLVF0S",6,"baseline","“Waste” that could attract animals like food or drinks","Restricted",20.029,"At the campground","","No legal education or work experience","Liberal/Democrat","At the campground",1
"R_1ELk6I9rYLklGEU",11,"phrasal","Digital “electronic devices” like phones or tablets","Restricted",36.41,"William","william/nicholas? I was focused on the fan because I wouldn't call that ""electronics"". When you shop for fans they are in household goods","No legal education or work experience","Liberal/Democrat","Nicholas",0
"R_5Cg2If95BQNsp1W",2,"simple","Any “harm” including a skin rash resulting from neglect","Broad",52.749,"Orca","","No legal education or work experience","Liberal/Democrat","Orca",1
"R_7DZmPBTJnB5WQTQ",3,"phrasal","Any “clinic” including a wellness spa","Broad",30.462,"Gun","","No legal education or work experience","Progressive (most liberal)","Gun",1
"R_8ffLwDXXWOEjRop",1,"simple","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",43.131,"Housing subsidy","","Licensed attorney","Moderate/Centrist","Housing subsidy",1
"R_7koar4fS3eVtgp4",3,"baseline","Medical “clinics” that are like hospitals or urgent care centers","Restricted",63.142,"Gun","","No legal education or work experience","Conservative/Republican","Gun",1
"R_7er4wvH7TT3hCJx",11,"phrasal","Digital “electronic devices” like phones or tablets","Restricted",55.547,"Nicholas","","No legal education or work experience","Lean Conservative","Nicholas",1
"R_1OoHFNIY2rWcoCv",1,"simple","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",43.114,"Housing subsidy","","No legal education or work experience","Conservative/Republican","Housing subsidy",1
"R_7ylxQIdx4wxFWLK",9,"baseline","Promotional “signs” like advertisements or flyers","Restricted",21.546,"IT","Good luck with your experiment","No legal education or work experience","Liberal/Democrat","IT",1
"R_5Cjnk6xlFoWOPJl",6,"phrasal","Any “waste” including used gift-wrapping paper","Broad",48.027,"At the campground","","No legal education or work experience","Liberal/Democrat","At the campground",1
"R_6siSapmnxLXexbE",9,"phrasal","Promotional “signs” like advertisements or flyers","Restricted",29.448,"IT","none","No legal education or work experience","Liberal/Democrat","IT",1
"R_69IFTm3ov7MNn3P",9,"simple","Promotional “signs” like advertisements or flyers","Restricted",41.655,"IT","","No legal education or work experience","Lean Conservative","IT",1
"R_7N9MKvZ2HbJVu1T",8,"simple","Any “tank” including a fish tank","Broad",37.389,"An aquarium","","No legal education or work experience","Conservative/Republican","An aquarium",1
"R_5cpIuhH9MvcyBIr",4,"baseline","Any “relinquishment” including a temporary lease","Broad",64.011,"Power plant","","No legal education or work experience","Conservative/Republican","Power plant",1
"R_1jpp0g9Vdp4LHXE",2,"phrasal","Direct, intentional “harms” that are like hunting and shooting","Restricted",33.087,"Orca","","No legal education or work experience","Conservative/Republican","Orca",1
"R_7chdFXoknkJ0sKJ",6,"baseline","Any “waste” including used gift-wrapping paper","Broad",116.605,"At the campground","The experiment was clear and easy to understand. The questions were straightforward, and I did not experience any issues completing it.","No legal education or work experience","Liberal/Democrat","At the campground",1
"R_6crY3EJxDoDMHbr",8,"baseline","Utility “tanks” like fuel storage or septic systems","Restricted",35.507,"An aquarium","None ","No legal education or work experience","Conservative/Republican","An aquarium",1
"R_7ZCDUvdm6OIWkyt",12,"simple","“Vehicles” with engines like cars or trucks","Restricted",19.1,"Bicycle","","No legal education or work experience","Moderate/Centrist","Bicycle",1
"R_5C1mEe1TMgdPkmh",12,"baseline","“Vehicles” with engines like cars or trucks","Restricted",12.134,"Bicycle","","No legal education or work experience","Liberal/Democrat","Bicycle",1
"R_5ghZHZbFApVIFu6",7,"phrasal","Any “detailed representations” including an intricate painting","Broad",26.748,"Joshua","","No legal education or work experience","Lean Liberal","Joshua",1
"R_62tzLH8kKkn5WFm",3,"simple","Medical “clinics” that are like hospitals or urgent care centers","Restricted",18.145,"Gun","","Some law-related coursework","Lean Conservative","Gun",1
"R_6OGqJ1XPFcoFSX7",1,"baseline","Any “educational benefit” including a housing subsidy paid to the student’s landlord","Broad",124.629,"Housing subsidy","","No legal education or work experience","Moderate/Centrist","Housing subsidy",1
"R_5LiHnfyhzPH2NML",5,"baseline","A highly secure “closed and fastened case” that is like a gunbox or a securely tied package","Restricted",26.303,"In her purse","","No legal education or work experience","Lean Liberal","In her purse",1
"R_1WTCsQ2XKI3Wonn",6,"baseline","Any “waste” including used gift-wrapping paper","Broad",123.216,"At the campground","","No legal education or work experience","Liberal/Democrat","At the campground",1
"R_7rWl3dzzYBHOG41",2,"baseline","Any “harm” including a skin rash resulting from neglect","Broad",46.083,"Orca","","No legal education or work experience","Liberal/Democrat","Orca",1
"R_7QL5jymwGfm0LZB",10,"baseline","Any “machine” including a small sewing machine","Broad",36.4,"Sewing machine","","No legal education or work experience","Lean Liberal","Sewing machine",1
"R_5ezuUzFHGWznQiy",4,"simple","Any “relinquishment” including a temporary lease","Broad",53.733,"Power plant","","Some law-related coursework","Conservative/Republican","Power plant",1
"R_1tmTPOnaZodPn2S",11,"simple","Any “electronic devices” including a small battery-power fan","Broad",26.266,"Nicholas","Have a good study  :)","No legal education or work experience","Liberal/Democrat","Nicholas",1
"R_6DnbZfVobcg8Bk1",6,"simple","Any “waste” including used gift-wrapping paper","Broad",31.121,"At the campground","","No legal education or work experience","Conservative/Republican","At the campground",1
"R_1xY7e7vzWkoUeXv",11,"simple","Digital “electronic devices” like phones or tablets","Restricted",22.046,"Nicholas","","Legal work experience but no law degree","Lean Liberal","Nicholas",1
"R_12Mw1TZBVq3FYsI",10,"phrasal","Loud “machines” like washers or dryers","Restricted",38.926,"Sewing machine","","Some law-related coursework","Conservative/Republican","Sewing machine",1
